Reference,Qty,Description,Part Number,Manufacturer,Digikey
"C1,C4,C5,C7,C8",10,"CAP 100NF, 0805",CC0805ZRY5V9BB104,Yageo,311-1361-1-ND
"C2,C3",10,"CAP 16PF, 0805",CC0805JRNPO9BN160,Yageo,311-4228-1-ND
C6,5,"CAP ALUM, 10UF SMD",EDK106M035A9BAA,KEMET,399-14794-1-ND
"D1,D2,D3",5,"DIODE SCHOTTKY, SOD123",BAT54GWJ,Nexperia USA Inc.,1727-7328-1-ND
J1,1,"USB CONNECTOR, TYPEA, SMD",AU-Y1006,Assmann WSW Components,AE11182-ND
"R1,R2",10,"RES, 33OHM, 1%, 0805",RC0805FR-0733RL,Yageo,311-33.0CRCT-ND
"R3,R4",10,"RES, 2KOHM, 0805",RC0805JR-072KL,Yageo,311-2.0KARCT-ND
SW1,5,SWITCH TACTILE SPST-NO,TL3305AF160QG,E-Switch,EG5350CT-ND
Y1,5,CRYSTAL 12.0000MHZ 18PF SMD,J49SMH-F-G-G-K-12M0,Jauch Quartz,1908-J49SMH-F-G-G-K-12M0CT-ND
U1,1,MAX3421 USB HOST CNTRL 32TQFP,MAX3421EEHJ+T,Maxim Integrated,MAX3421EEHJ+TCT-ND
U2,1,IC BUFFER NON-INVERT 16SOIC,74HC4050D,Toshiba Semiconductor and Storage,74HC4050DCT-ND
U3,1,IC REG LINEAR 3.3V 500MA SOT23-5,MIC5219-3.3YM5-TR,Microchip Technology,576-1281-1-ND
